open_time,开盘价,最高价,最低价,收盘价,成交量,成交额,成交笔数,主动买入量,主动买入额,MA20,MA50,MA_LONG,MACD,MACD_Signal,MACD_Hist,RSI,RSI_Long,BB_Upper,BB_Middle,BB_Lower,BB_Long_Upper,BB_Long_Middle,BB_Long_Lower,Stoch_SlowK,Stoch_SlowD,OBV,ATR,ATR_Long,ATR_Ratio,ADX,Fib_Ret_0.382,Fib_Ret_0.500,Fib_Ret_0.618,Fib_Ret_0.236,Fib_Ret_0.786,Fib_Ret_0.000,Fib_Ret_1.000,Fib_Ext_1.272,Fib_Ext_1.414,Fib_Trend,Fib_High,Fib_Low,Fib_Signal,Fib_Support_Level,Fib_Resistance_Level,Fib_Price_Position,MA200,MACD_Long,MACD_Long_Signal
2025-04-23,93404.9,94904.3,91898.0,93632.1,232748.42,21736792000.0,3900078.0,115506.414,10789641000.0,84049.15,84617.055,,1616.8954,354.3797,1262.5157,67.74258,61.10074,92050.49,84049.15,76047.805,106893.88,90850.09,74806.3,93.877945,92.29927,3486554.0,3423.683,3752.4404,0.9123884,17.332842,88782.95,93208.25,97633.55,83307.59,103933.97,74457.0,111959.5,64256.32,58930.965,neutral,111959.5,74457.0,neutral,,,,,355.04056,-667.5285
2025-04-24,93632.2,93980.6,91619.0,93931.6,157092.73,14589478000.0,2683732.0,80302.4,7459609600.0,84561.055,84792.18,,2044.7344,692.4506,1352.2837,68.15489,61.4205,93585.04,84561.055,75537.07,106839.78,90824.26,74808.734,94.14093,93.61391,3643646.8,3347.8198,3724.6235,0.8988344,19.35554,88782.95,93208.25,97633.55,83307.59,103933.97,74457.0,111959.5,64256.32,58930.965,neutral,111959.5,74457.0,neutral,,,,,739.1952,-386.18375
2025-04-25,93931.5,95769.6,92788.0,94591.8,191830.48,18114329000.0,3288571.0,94332.016,8908814000.0,85072.03,84948.26,,2409.2996,1035.8204,1373.4791,69.09272,62.140827,95044.98,85072.03,75099.09,106682.14,90765.58,74849.01,92.38081,93.46656,3835477.2,3321.6614,3709.7632,0.8953837,21.6038,88782.95,93208.25,97633.55,83307.59,103933.97,74457.0,111959.5,64256.32,58930.965,neutral,111959.5,74457.0,neutral,,,,,1096.9614,-89.5547
2025-04-26,94591.8,95157.1,93833.0,94575.7,72538.21,6848478000.0,1340715.0,35871.715,3386855000.0,85599.16,84954.67,,2666.1868,1361.8937,1304.2931,69.03933,62.11113,96326.914,85599.16,74871.4,106540.45,90711.96,74883.46,91.838295,92.78668,3762939.0,3178.9785,3662.0498,0.8680872,23.69147,88782.95,93208.25,97633.55,83307.59,103933.97,74457.0,111959.5,64256.32,58930.965,neutral,111959.5,74457.0,neutral,,,,,1396.5618,207.6686
2025-04-27,94575.7,95280.5,93547.3,93697.1,83816.18,7891352600.0,1503584.0,42053.02,3960324900.0,86328.07,85091.12,,2766.98,1642.9109,1124.0691,66.03991,60.455757,97077.53,86328.07,75578.6,106220.9,90608.51,74996.11,88.43152,90.883545,3679122.8,3075.7085,3623.473,0.8488289,25.443117,88782.95,93208.25,97633.55,83307.59,103933.97,74457.0,111959.5,64256.32,58930.965,neutral,111959.5,74457.0,neutral,,,,,1601.8073,486.49634
2025-04-28,93697.0,95578.8,92700.0,94969.0,194420.72,18333704000.0,2926262.0,97737.23,9216964000.0,87081.83,85231.54,,2915.8787,1897.5045,1018.37415,68.194145,61.99538,97928.89,87081.83,76234.766,105898.82,90512.95,75127.086,89.34799,89.872604,3873543.5,3061.6436,3608.5793,0.8484346,26.513863,88782.95,93208.25,97633.55,83307.59,103933.97,74457.0,111959.5,64256.32,58930.965,neutral,111959.5,74457.0,neutral,,,,,1832.878,755.7727
2025-04-29,94969.0,95426.4,93678.7,94200.1,147831.8,14010735000.0,2481112.0,74470.17,7059199000.0,87934.31,85297.61,,2937.971,2105.5977,832.3732,65.48957,60.5002,98046.3,87934.31,77822.336,105692.55,90441.836,75191.13,88.344864,88.70813,3725711.8,2967.7905,3571.3618,0.8309969,27.508125,88782.95,93208.25,97633.55,83307.59,103933.97,74457.0,111959.5,64256.32,58930.965,neutral,111959.5,74457.0,neutral,,,,,1982.8342,1001.185
2025-04-30,94200.1,95186.5,92848.1,94125.1,170929.31,16099511000.0,2588053.0,85918.516,8092754400.0,88483.7,85374.65,,2915.8157,2267.6414,648.1744,65.21787,60.351128,98627.695,88483.7,78339.7,105444.555,90360.61,75276.67,89.24034,88.97773,3554782.2,2922.834,3546.7026,0.824099,27.866388,88782.95,93208.25,97633.55,83307.59,103933.97,74457.0,111959.5,64256.32,58930.965,neutral,111959.5,74457.0,neutral,,,,,2097.3826,1220.4246
2025-05-01,94125.2,97388.0,94086.7,96423.3,184526.75,17724494000.0,2825368.0,96525.42,9270273000.0,89286.7,85550.46,89828.97,3048.5613,2423.8254,624.73584,69.40642,63.26356,99143.734,89286.7,79429.67,105063.38,90263.7,75464.016,88.95662,88.847275,3739309.2,2949.8674,3541.7944,0.83287364,28.866604,88782.95,93208.25,97633.55,83307.59,103933.97,74457.0,111959.5,64256.32,58930.965,neutral,111959.5,74457.0,neutral,,,,89828.97,2299.7446,1436.2886
2025-05-02,96423.2,97865.4,96283.1,96831.2,139197.53,13503167000.0,2240247.0,68734.4,6668888600.0,89927.32,85744.03,89982.8,3150.3616,2569.1326,581.22906,70.094765,63.759666,99912.91,89927.32,79941.734,104808.836,90195.37,75581.89,90.60571,89.60089,3878506.8,2852.1838,3502.6047,0.8143037,29.92547,88782.95,93208.25,97633.55,83307.59,103933.97,74457.0,111959.5,64256.32,58930.965,neutral,111959.5,74457.0,neutral,,,,89982.8,2481.6604,1645.3629
